selection1_name,selection1_phone,selection1_users_name,selection1_users_reviews,,,
Mean Sandwich,(206) 789-9999,"Sheri C.
Seattle, WA","Spent the afternoon with a friend who suggested we come here for lunch. She told me she had been here before and that I would like it; she was spot on.
Mean Sandwich is a small shop in Ballard that has no frills. Featured in Bon Appetit's 2017 List of America's Best New Restaurants, which I was informed about by my friend, I was intrigued to find a pretty basic menu: 7 sandwiches with 3 daily specials (soup may be one), 1 salad, 3 kinds of fat potato skins: salt & pepper or buffalo sauce or loaded-cheese/chives/bacon bits/more cheese, and yesterday's bun bread pudding.
While my friend and I were staring at the menu trying to decide what to order, a member of BOH came out, started singing loudly along with the 80's song playing and a huge grin. ""What should I get?!"" belted out my friend. ""Buon Appetito,"" he replied. She gushed. He kept singing. She informed me I had to get the skins and share them with her, so we got the salt and pepper.
Buon Appetito is a chicken sandwich with buffalo mayo, provolone, tomato, lettuce, and a pickled pepper relish. It looked huge. It was. My bud ended up taking half the sandwich home for later.
I got the Jersey Sub: capicola, provolone, salami, ham, lettuce, tomato, oregano, oil & vinegar (I asked for no red onion). Amazingly good. Crazy filling. The BREAD, man, the bread. It was like home, only a home I've never had.
Their icon is a pair of lady's lips with red lipstick, and they had free stickers. We each grabbed one. I slapped mine on the back of my day planner which is now in the recycling bin somewhere, and I really, really want to go back and get another sticker. And a sandwich.
You can get delivery. You can get catering. Adult beverages are available. I stuck with a bottle of root beer.
Outdoor seating where your pooch can also sit is available. Tables indoors along with bar stools facing the windows.
Food: 5
Service: 5
Ambiance: 4
Parking: 3 - It's freaking Ballard",,,
Mean Sandwich,(206) 789-9999,"Brendan c.
Seattle, WA","I would definitely go back but ratios of sandwiches can be off at times. The guys working there are super nice and the place is spotless. If your lucky to be there when it's open, get a sandwich and if you aren't hungry, get one for later.
Example of poor ratio: is The Fish is really good when you get the right bite and you get a bit of everything. However the sardines are like 10% of the sandwich. The bread is like 40% the sandwich and at times your just eating bread, which is also really good but I want something in between it. Also the fish is between. The lettuce and the slaw so one bite and half of the fish slides right out the back. Next, thing you know your eating a vegan sandwich of slaw and lettuce.",,,
Mean Sandwich,(206) 789-9999,"Scott X.
Seattle, WA","I have now tried several of the sandwiches...All are delicious but only 3 stars because SMALL...The fillings ie....Chicken Cutlets, Sardines etc...are, no other way to describe it, SKIMPY...I'm from NY where sandwiches at this price point are HUGE and having come here off and on for work for quite a while I can cut them some slack (the food worlds of Ballard and Brooklyn are so far apart as to almost be another country, possibly another planet :-) )...nonetheless for $15 including tax and tip it would be nice to be at the very least full...They are tasty tho'!!!",,,
Mean Sandwich,(206) 789-9999,"Tom C.
Seattle, WA","So this review is going to go beyond the incredible sandwiches and touch on the awesome customer experience at Mean Sandwich. We came based on the rumors of a delicious sandwich and were not disappointed. The Mean Corned Beef was awesome. A great version of a staple, including mint to add a touch of sweet flavor. The potato sides were also awesome. The part I really want to highlight though is Dan. When I asked what he recommended, he actually asked questions and gave great guidance. He also checked in on us to see if we were enjoying our sandwiches and asked what we thought of our selections. On our way out the door he thanked us for visiting. I know this all seems minor compared to the food but in today's hipster Seattle food scene I think it's rare to find a spot that not only has great food but also great people that appreciate their customers. Go for the awesome sandwiches, return for the great people!",,,
Mean Sandwich,(206) 789-9999,"Tori Z.
Seattle, WA","Very unique signature sandwich. The meat is juicy and delicious and the sandwich is filled with many strong flavored ingredients - and it works. When I saw maple syrup and mint on the menu I thought it was weird, but it really balances the sandwich well. Overall a great sandwich, I'd love to come back to try other sandwiches, the skins and ins, and play corn hole and ping pong in their courtyard.",,,
Mean Sandwich,(206) 789-9999,"Martyn L.
Seattle, WA","Mean Sandwich is a high quality sandwich place in the south end of Seattle's Ballard. It serves a limited range of well-produced sandwiches.
The restaurant is in an easy location to reach near the bridge. Parking nearby is limited and we were lucky to find a space in relatively short walking distance. We had come for a late lunch so it wasn't too busy.
Inside there is a very limited set of seating. This is a place that probably works best for takeout, since I wouldn't have felt really confident we could sit down, and don't want to let my food get cold. Service was counter-style, and friendly.
The menu is very limited. I knew this going in, but when faced with the actual choices, there are really only two that appeal to me much and really only one I definitely want.
There is a very appealing sounding side (fried potato lumps called skins and ins). This is exactly the sort of thing I typically love, but it was a bit overcooked and oversalted and I liked it but didn't love it, which was the big disappointment of the visit. I had expected this to be the high point.
When the sandwich arrived, it was great quality. I had a Buon Appetito (chicken). The bread is super - which I think is what tends to be most important. Not too sweet or soft. Great bread. The filling was a bit less exciting. It tasted like pretty normal sandwich fare. Not bad in any way, but not amazing. The portions were giant. With the skins, both of us had about twice as much food as we needed for a lunch and should have shared (except that we wanted completely different things).
Overall, this is a pretty good sandwich place. Much better than most of the regular chains or local places. If something from their tiny selection appeals to you, I recommend a visit. I doubt we'll be going very often, because we didn't bond with the choices we made and there isn't much more we want to try.",,,
Mean Sandwich,(206) 789-9999,"Amanda E.
Capitol Hill, Seattle, WA",Amazing sandwiches and staff. Ingredients are fresh and prepared to perfection. Much more than an ordinary sandwich . I'll be back!,,,
Mean Sandwich,(206) 789-9999,"J B.
Los Angeles, CA","Are you in the mood for a really exceptional sandwich experience? Then I highly recommend Mean Sandwich and do get The Mean and an order of fries. The burger is really good. I'm looking forward to trying the other items on the menu and I'm thinking they'll be pretty good. Staff is very friendly (parking can be a bit tough, but there is street parking).",,,
Mean Sandwich,(206) 789-9999,"David B.
Seattle, WA","Nice staff. Cool location.
I think we were oversold on the sandwiches. The hype hurt.
These were solid sandwiches.
The Mean, JCVH and Italian were ok. Nothing stellar. Ironically our veg in the group really loved the falafel sandwich. I agreed and felt a little cheated with my choice of the Italian and the too vinegary sauce and almost Jersey Mike's level of presentation.
I had and have high hopes that some adjustments will help this place live up to the hype like Dingfelders was finally able to do after some adjustments.",,,
Mean Sandwich,(206) 789-9999,"Dominique S.
Seattle, WA",Such a good Mean Sandwich! I love corned beef and having the MINT was so weird but complimented the other flavors so well!!!! Huge success. The owner and his brother were so welcoming. And the POTATO crisps!!!! Wow so good! Best part was the funny cat videos playing on the Tv inside. Just kidding the best part was the Jaw dropping bread pudding. Such a cool place and felt so welcoming.,,,
Corvus & Company,(206) 420-8488,"Phil G.
Seattle, WA","Corvus & Whomever was a fortunate choice for a pre dinner cocktail and jump started a great ""night on the town.""
Eclectic, accepting, multi cultural, multi everything and anything, the patrons around the bar represented a rainbow collection of the united nations of all humanity. A friggen bravo/brava to Corvus. Everyone was kind, warm and friendly, and I felt immediately at home; no judgement calls here. After a great hour, we left with both a liquor and life buzz. We're moving to Seattle in a month, and this North Queen Anne neighborhood may be our best choice to find a welcoming home. Thanks Corvus and all",,,
Corvus & Company,(206) 420-8488,"Lauren P.
Kent, WA","Cool little bar up in Capitol Hill. We stopped here before going to the drag show at Le Faux and it was a fun way to prefunk!
The inside is dark, romantic, and they've got a tonnnn of cool drinks. Service was kind and quick as well.
Tried the Mai Tai and the Kingston Club (I think that's what it was called) and both were delicious and strong. We tried the artichoke fritters for a light bite and I was not a fan. They were way too doughy for my liking and all together didn't have a ton of flavor.
Definitely would come back to try more cocktails and more of the menu, because it sounds like they do have some really tasty options!",,,
Corvus & Company,(206) 420-8488,"Zermin A.
Redmond, WA","Great hidden gem! Don't let the size or ambiance fool you, this place is pretty damn awesome!!!
YOU MUST TRY THE LAMB BENEDICT! I didn't think lamb and Benedict went together, till I tried it here and I fell in love! It's awesome! I will definitely go back for that!
The veg hash was great too! The veggies they used were fresh and wholesome! The eggs are cooked to perfection!
Gave it one less stars because the English breakfast tea quality was far below average! The coffee to was just ok, nothing great!",,,
Corvus & Company,(206) 420-8488,"Ajax a.
Seattle, WA","Corvus had been a favorite for drinks, food, and brunch. Reasonably priced, friendly service, and decent acoustics made this a quiet standout. But the last few times have been disappointing, and last night brought back an old gripe about the new waitstaff that has landed in the Puget Sound area: they aren't professional. We arrived in time for happy hour, and ordered food from it. We also ordered two cocktails -- the menu said ""ALL COCKTAILS $2 OFF."" The toddy was ok, a little heavy-handed with the dried spices, and the Last Word was unbalanced, with too much sour competing with the Luxardo and both overwhelming the chartreuse. I could have sent it back, but wasn't in the mood to be ""that guy."" Food was fine as always, especially the fried okra and chickpeas.
When the the bill arrived, it showed the HH for happy hour pricing, but not on the Last Word. I pointed out the wording on the menu, and the waitress told me she only works one night a week and to take it up with the management/owner. No further help from her. Her service was basic, nothing stellar, but that last comment showed how little she cared about customers and the restaurant. Typically I would have sought out management and voiced my concerns, but last night I just wanted to get on with my evening.
It is a small matter, but I hope management clarifies their drink policy or gives staff the ability to make things right.",,,
Corvus & Company,(206) 420-8488,"Nicole A.
Seattle, WA","This is a great place to grab drinks! My boyfriend and I came here after dinner and like most of the bars in Capitol Hill it's small in size but large in personality. The decor is really edgy and moody, but in a totally awesome way.
The menu is pretty extensive, so I ended up asking the server for a recommendation. I'm really not a huge fan of gin based drinks, but she assured me that the gin they use is very smooth and doesn't have an overpowering flavor. And she was right! My drink was fruity and very refreshing. I'll be back to try more!",,,
Corvus & Company,(206) 420-8488,"Valerie C.
Seattle, WA","What brought me in is the ambiance of the place. Lowly lit, wood counter top, leather seats, beautifully displayed bar. A place that I can sip on my cocktail, snacking on small bites and a nice place to enjoy a conversation.
I ordered The King of Swords, a decadent drink. Along with some artichoke fritters and the falafel plate. All very delicious.
I will recommend this to friends and I hope to return!",,,
Corvus & Company,(206) 420-8488,"Conor S.
Seattle, WA",New favorite! This place was fantastic. The team working was fast and friendly. Got drinks and some light bites. Everything was delicious. I recommend trying some of their cocktails. They had plenty of delicious offerings. The roasted beets was amazing! Delicious and perfectly prepared. Will be recommending to friends!,,,
Corvus & Company,(206) 420-8488,"Sebastian T.
Seattle, WA","I was at Herb & Bitter for some cocktails and my group decided to hop to the next nearby spot within walking distance and i was able to find this little gem. This place is definitely on a more casual side, and the vibes were in-between a bar & classy cocktail bar. The walls were open to the outside and the spot was happily filled, but not packed.
At first glance,the drinks were cheap, but they still had interesting inviting cocktails. My inner asian was screaming ""BEST VALUE"". My group got a variety of drinks and I was very impressed to say the least. There were definitely a few cocktails I'd love to try and I was very satisfied with what I got.
I'd definitely be back with some friends for a cocktail night out, and I'd love to explore the other drinks that are offered. I highly recommend checking this spot out for drinks!",,,
Corvus & Company,(206) 420-8488,"Carissa D.
Ambler, PA","My family and I enjoyed lunch here on a walk through this area on a Friday afternoon. The staff working here were really friendly. The bartender was amazing! His bar tending skills were incredible. Their drinks are works of art! We didn't order any, but if I came in the evening I definitely would have. The food took a little long, it seems like there was only one chef in the back but it was excellent so it made up for the wait time! My mom enjoyed the flavors through the lamb Benedict and I loved my shakshuka. Very well done drinks and food!",,,
Corvus & Company,(206) 420-8488,"Steve S.
Redmond, WA","I've only been here for Sunday brunch with friends, so that is what I'm reviewing. I've been here a few times (but only started doing the check-in thing recently), and I've usually ordered the French toast. It's good stuff.
Yesterday, it seems that other customers thought the French toast was such good stuff that it was all gone by the time I arrived, just after 1 pm. The server suggested ""Australian unicorn toast"" as a substitute; it's the special of the day because it was the Australian bartender's birthday. It was a slice of thick toast, sliced diagonally, and served with whipped butter and syrup - pretty much the way French toast would be served, except without the egg batter coating. The portion size was too small, but it was only $3, so I ordered another portion. That was about right, and my tab ended up smaller than usual.
Service has generally been good.
The decor is nice, with a lot of cool art - though strangely (given the place's name) there's only a small picture of a crow on one wall, and a giant picture of an owl on the long wall opposite the bar.
We were seated close to the front door on a cold day, but it didn't feel drafty. I'm not sure how they manage that, but they're doing something right.",,,
Corvus & Company,(206) 420-8488,"Bee D.
Reno, NV","What a great experience! Good vibes atmosphere, happy hour! The seasonal Asparagus with Garlic aioli cardamum pepper sauce, was delectable. I sopped up all the tasty juices with a side of grilled pita. So delicious! The bartender was a cool dude too!",,,
Corvus & Company,(206) 420-8488,"Walter P.
Seattle, WA","A couple of years ago I praised the chicken shawarma. Alas, they dropped it from the menu and I no longer go.",,,
Corvus & Company,(206) 420-8488,"Sugandha S.
Seattle, WA","I used to love this place so much. But the staff is horrible here. They are so rude and arrogant. We were looking for a table and waited for the host for more than 10 mins. We saw a host was passing by us so we asked her if any table is available and she said ""I don't know"" and left. I was hoping a little less attitude and little politeness.",,,
Corvus & Company,(206) 420-8488,"Tammy Y.
Woodinville, WA","Great food! Nice ambiance but they could really use a storm door or heavy curtain as it gets very drafty inside. We were at the 3rd booth from the door and stayed in our heavy coats while we ate. It's also quite dark in here! We were exchanging Christmas gifts and I was afraid one of my friends would drop part of her gift and not even be able to see it in the dark space.
The twice friend cauliflower here is a must. Cooked to perfection, it was one of my favorite dishes of the night. The fritters were good and perfect for sharing. The arugula salad and goat cheese was very tasty as well. I look forward to future visits during warmer seasons!",,,
Corvus & Company,(206) 420-8488,"Michael M.
Garden Grove, CA","This place is amazing. From drinks to food, from service to ambience. It's an instant favorite with us foodies and craft cocktail bar hunters.",,,
Corvus & Company,(206) 420-8488,"Smrithi S.
Bellevue, WA","We are so happy to have found this place. We were in the area and looking for a place for dinner after 10 and saw this place was still open. A quick check on Yelp showed they had a lot of good reviews, even though they weren't showing up on our yelp search.
This place has great ambiance, with friendly service, and very good music playing.
We ordered the fried lamb kibbeh, Turkish spiced chicken wings, and chicken shawarma as a plate, with pita on the side. We loved every dish we ordered, and will be back soon to try more.
Bonus: there is a well lit, paid parking lot right opposite.",,,
Corvus & Company,(206) 420-8488,"Chauanh D.
San Francisco, CA",Wow...we've been in the neighborhood for 3 years and finally stopped in last night. The cocktails were very well done. Can't wait to try some of the food next!,,,
Corvus & Company,(206) 420-8488,"Melanie R.
Seattle, WA","Love the drinks love the food, the staff is really friendly. Monday's they have an extended happy hour which is great.",,,
Corvus & Company,(206) 420-8488,"Jordan K.
Ellensburg, WA",This place is fabulous! Can not wait to get back up to Capital Hill to enjoy this place. Great dive craft cocktail bar. Completely enjoy the experience and can't wait to get back. Will say I haven't tried the food so I can't speak to that but outside of that definitely worth the check out if you're in the area.,,,
Corvus & Company,(206) 420-8488,"G. E.
Seattle, WA",Excellent vibe. Small tasty plates. Perfect for a long Monday happy hour (which is the only day worth bothering with my n Capitol Hill). Enjoyed the chicken skewers and falafel plate. Artichoke fritters are pretty good as well--basically tasty artichoke hush puppies.,,,
Due鈥?Cucina Italiana,(206) 397-4375,"Karrissa D.
Seattle, WA","I called this evening to verify their cacio e pepe is vegetarian, and it is! yay!
I ordered the cacio e pepe and a slice of sourdough bread through uber eats. The flavor of the cacio e pepe is quite different from what I've had before, I think it's the aged cheese that really made the difference. It was delicious though! The pasta was perfectly cooked (& fresh!) and the 'sauce' still had a really good pepper flavor. The sourdough also came with a light drizzle of olive oil and salt which complemented the pasta perfectly.
Only downside was the temperature, but that's a given with delivery. Definitely looking forward to being able to visit once everything is back open, as this was my first time trying their food. I'm for sure going to order some fresh pasta for home in the future too.",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Andrea O.
Bellevue, WA","Even in these challenging times (covid-19 lockdown) these guys are rocking it. They reconfigured the restaurant for to go/delivery only orders. Got my usual favorites to go and everything was amazing. Will keep supporting them during this difficult moment, consider doing the same!",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Becca H.
Fremont, Seattle, WA","Due' Cucina is a great spot for lunch or dinner! The prices are great, the servers and atmosphere are relaxed and welcoming, and the food is amazing. My go-to order is the Traditional Bolognese Ragu with traditional spaghetti. My boyfriend orders the Aglio & Olio with healthy campanelle and adds fried tofu. Be sure to get tiramisu, sharing is an option size-wise, but you won't want to. It's to die for! We placed an order for pick-up today since the city is still under the stay-at-home order. There was no fuss and no wait to get our food. We're going to continue supporting Du茅 through the coronavirus pandemic and beyond. Yum!!!",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Jen H.
Kirkland, WA","Thank goodness this place delivers all the way to Kirkland! I miss eating out in Seattle so I was super thankful and appreciative that we were in the delivery area.
I ordered the kale pesto campanelle and it was amazing!! I would definitely order this again. It was cooked perfectly - nice and chewy. My partner ordered the eggplant parm and he was a little disappointed with the portion size; it came in a tiny little box. He was jealous of my kale pesto pasta which I hesitantly shared with him. We shared the tiramisu at the end of our meal and it was fantastic, one of the best tiramisu I have had in awhile. Definitely planning on ordering here more while this pandemic is going on. Highly recommend!",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Richard U.
Seattle, WA","3.5 star place!
Interesting casual dining pasta place up in Cap Hill. I was looking to support local restaurants still open during the shelter at home mandate in effect and luckily they are still open for take out.
Stuff tried:
Eggplant parmesan: i am only person i know that actually craves eggplant parm. The version here is not crispy at all but it is exceedingly delicious! My only gripe is that the portion size is tiny. If you are remotely hungry i would order two servings.
Mushroom with truffle oil on healthy pasta: i am a sucker for mushroom truffle oil anything. Chose the healthy pasta which is made from some type of bean flour instead of wheat giving it a toothy consistency. The pasta has touted health benefits but the consistency might be offputting for some folks. Flavor was pretty good however
Bruschetta caprese: nice slab of grilled bread with fresh toppings. I admit that the to go version seems to have left my bruschetta a bit soggy. Eat this first next time",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Holly L.
Oakland, CA","The pasta was very tasty! Excellent. If I had eaten on-site, I'd probably rate higher. I love that you can really taste the truffle oil in the mushroom pasta dish. The pomodoro was simple but hit the spot.
However, I ordered delivery through Yelp/Grub Hub and it was an awful wait. On yelp, it said 30-50 min wait time. However I waited 1.5 hours or 40 mins to 1 hour more wait time than I expected. I was tired and hadn't eaten for more than 9 hours so I picked the place that could be the least amount of wait. The restaurant blamed the grub hub driver, and when I called grub hub they weren't taking calls. After my 3rd call to grub hub, they also blamed the driver and gave me a lousy 10% discount for my next purchase.
I'd probably eat here again but NEVER use delivery.",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Marie B.
Shoreline, WA","I love pasta and have been to just about every Italian spot in Seattle. Handmade pasta, I'm there! Pasta in a casual setting, even better! Most often though, I don't have access to the likes of Il Corvo, Pasta Casalinga, G.H. Pasta, Ristorante Machiavelli, Tavolata, or La Vita e Bella because I currently don't work in Seattle.
However, the very first Yelper I ever met is credited for the recommendation to Due' Cucina Italiana *Bryan K* Clearly, I had been under a rock and late to the pasta bowl party at this popular Capitol Hill/Broadway spot. I've interacted with the two brothers than run DCI, great charismatic business owners. Brilliant concept and business hours until 2200! Great counter staff and efficient kitchen crew. A variety of seating are available whether dining solo, pairs or larger groups. Just remember to kindly bus your table at the end!
My first visit was back in December 2018 (been open since October 2016!) and have been back so many times that honestly I've lost count. This is a long overdue Yelp review as I just had a custom pasta bowl for dunch/linner hours ago (1/27/20).
Assorted fresh pasta that's crafted on site. Your pasta bowl is customized by selecting type of pasta, sauce, and other ingredients from the giant wall signage. Order and pay at the counter, then find a place to sit if dining onsite. There's also brisk takeout and delivery traffic.
In about 15-20 minutes your name is called or check the status on the order monitor. I like to admire my pasta bowl and then dig in while nice and hot. Feeling raveneous, one can easily polish off a bowl. Most often, I have tasty leftovers for another meal.
Another item I've had often (but not today) is their delicious tiramisu. Enough to share, or not!
So thank you Bryan K, Due' Cucina Italiana has become one of my regular spots.
High quality, delicious, affordable, satisfying, highly recommended!",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Theresa L.
Seattle, WA",Ordered from here for the first time last night. Had delivered and dropped at the front door. Everything was timely manor and tasted great! Can't wait to try more,,,
Due鈥?Cucina Italiana,(206) 397-4375,"Julia L.
Seattle, WA","Had a lovely lunch here recently! The place is modern, clean, well lit (large windows) with plenty of open seating. Remember to seat yourself & bus your own table. My group tried a variety of the sauces...
- traditional bolognese: rich, hearty, filling
- cacio & pepe: the cheese flavor was very sharp and strong, delicious but a bit too much for me
- amatriciana: lots of tomato flavors + smokey, savory goodness in the form of guanciale (cured pork cheek)
- mushroom & white truffle oil: creamy, thick, but not too heavy. Wonder, well balanced flavors between the mushroom and truffle oil (personal favorite out of the 4 sauces)
The pastas were all fresh and perfectly al dente (firm, chewy). Personally enjoyed the rigatoni and ca campanelle best. Would recommend and come back again!",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Pauli D.
Seattle, WA","Fresh pasta + mushroom sauce =
----
Every time I go to @duecucina I become more and more of a fan. It's a place that has definitely grown on me. The pastas are light, more my style for lunch, and very very fresh!
----
My favorite at the moment would be the mushroom sauce. Simple and yet the umami really shines through. What do you get here?",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Edward A.
Bellevue, WA","Friendly staff, in a way. I was told the order line starts near the entrance. I thought i had to order at the food pickup area. Oops.
I had eggplant parmesan. Pretty tasty little appetizer dish. My wife had the only pasta dish that was rated high on the al dente-ish. Those noodles were rather undercooked. Felt like i was eating them raw. But i guess thats what it is by definition? I can definitely see the appeal.",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Yvonne Yiyao X.
Seattle, WA","Can't believe it took me so long to find this place. Friendly service. Reasonably priced. Food is fast and fresh. Delicious sauce. Pasta is al dente. I loved both pasta dishes and the tiramisu. I see their take out orders coming out rapidly. The store is not super busy or overwhelming. The owner actually cares about his business and was cleaning up here and there. The kitchen is bright and clean - always a good thing to be able to see the kitchen.
Four stars but only because of my love to Il Corvo. This is a place I'll certainly come back soon.",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Cristina G.
Kirkland, WA","I have ordered this twice to be delivered to my office using uber eats. This is the best italian pasta I have eaten in Seattle with the exception of Barolo. The pasta is definitely made freshly from scratch and cooked perfectly al dente chewy.
My favorite dish is the mushroom and truffle oil pasta The first time, i went with another reviewer's suggestion and added pork. I decided I liked it better without pork since pork was flavorful but a little greasy.
Last time I ordered a pasta with another type of ragu and it was also great but needing cheese. Make sure you request extra cheese if you order this pasta.
I would pass on ordering any of the breads.",,,
Due鈥?Cucina Italiana,(206) 397-4375,"Brianna F.
Seattle, WA","We came here on a Thursday evening for a double date to celebrate a couple birthdays and it was packed! Due Cucina Italiana is an order-upon-entry, seat-yourself, and bus-your-own-table establishment. Luckily our friends had arrived earlier than us and were able to snag a table.
The ordering steps are as follows: choose a sauce, choose a pasta, order add-ons or drinks if wanted, sit and watch the screen until your order is ready.
Holy guacamole this place is good! Although the rest of my party ordered the bolognese ragu, I decided on the mushroom and white truffle oil sauce with campanelle pasta and pork sausage. The wait for our food was about 15 minutes, but the food is freshly prepared after your order is placed. The portions are extremely generous for the price, and it's very obvious that the pasta is fresh and perfectly al dente.
I will definitely be back to try the other sauce and pasta options. AND DESSERTS! ;)",,,
